OBJECTID,nuts318cd,nuts318nm,bng_e,bng_n,long,lat,Zone,Shape_Length,Shape_Area
89,UKI51,Bexley and Greenwich,546458,175715,0.106862,51.46146011,Z14,65185.65098,107910343.9
90,UKI52,Barking & Dagenham and Havering,552765,186559,0.202273,51.5572319,Z14,75310.79771,148457475
91,UKI53,Redbridge and Waltham Forest,541591,190422,0.042757,51.59484863,Z14,60483.73613,95227178.37
92,UKI54,Enfield,532829,196197,-0.08147,51.64888,Z14,41064.47212,82200193.55
93,UKI61,Bromley,542036,165708,0.039246,51.37266922,Z14,76163.80817,150134859.5
94,UKI62,Croydon,533922,164745,-0.07761,51.36597824,Z14,58703.77567,86494435.73
95,UKI63,"Merton, Kingston upon Thames and Sutton",524015,166299,-0.21931,51.38219833,Z14,76263.07063,118732891.2
96,UKI71,Barnet,523472,191753,-0.21821,51.61108017,Z14,50818.37326,86748323.5
97,UKI72,Brent,519615,186468,-0.27568001,51.56441116,Z14,38333.83899,43232646.35
98,UKI73,Ealing,517057,181960,-0.31406999,51.52442932,Z14,47438.66392,55544346.29
99,UKI74,Harrow and Hillingdon,511841,188359,-0.38719001,51.58300018,Z14,83015.7508,166163847.3
100,UKI75,Hounslow and Richmond upon Thames,512146,173382,-0.38755,51.44832993,Z14,102547.8202,113384696.9
101,UKJ11,Berkshire,465737,173159,-1.0553,51.45360184,Z13,296799.9745,1263886264
102,UKJ12,Milton Keynes,486408,242308,-0.74070001,52.07241058,Z12,102960.0847,308626793
103,UKJ13,Buckinghamshire CC,482506,208561,-0.80568999,51.76966095,Z12,361852.6366,1564949149
104,UKJ14,Oxfordshire,448985,208334,-1.29146004,51.77154922,Z13,413240.4142,2605947810
105,UKJ21,Brighton and Hove,530279,106849,-0.15079001,50.84648895,Z16,59061.86949,82785262.48
106,UKJ22,East Sussex CC,564120,118026,0.33453,50.93832016,Z16,345893.2843,1712691601
107,UKJ25,West Surrey,499200,152971,-0.57946998,51.26726151,Z16,189909.6082,1000334331
108,UKJ26,East Surrey,527706,150601,-0.17191,51.24029922,Z14,160035.2818,669738597.5
109,UKJ27,West Sussex (South West),490285,114802,-0.71675003,50.92560959,Z16,367380.701,1081600346
110,UKJ28,West Sussex (North East),522808,125395,-0.25062001,51.0148201,Z16,263639.5898,909271293.7
111,UKJ31,Portsmouth,465607,101357,-1.07023001,50.80804825,Z16,60863.2024,40364178.76
112,UKJ32,Southampton,442253,113608,-1.40024996,50.92037964,Z16,58966.8605,49900875.55
113,UKJ34,Isle of Wight,447186,85950,-1.33361995,50.67129898,Z16,192524.4475,380164379.3
114,UKJ35,South Hampshire,454137,104358,-1.23256004,50.83620834,Z16,260747.7623,234734499.4
115,UKJ36,Central Hampshire,452756,124915,-1.24919999,51.0211792,Z16,574561.9723,2556037039
116,UKJ37,North Hampshire,463331,151423,-1.09379005,51.258461,Z16,174393.7209,888127288
117,UKJ41,Medway,578207,175196,0.563173,51.44770813,Z15,189674.0489,193540413.7
118,UKJ43,Kent Thames Gateway,593761,161976,0.77952999,51.32387161,Z15,346147.7539,546250945.6
119,UKJ44,East Kent,623763,144104,1.19829297,51.15242004,Z15,318313.0272,1084053392
120,UKJ45,Mid Kent,591037,143939,0.73086601,51.16278839,Z15,228084.3508,973949947.1
121,UKJ46,West Kent,555341,148444,0.222743,51.21406937,Z16,280387.4987,941801143
122,UKK11,"Bristol, City of",359990,174846,-2.57742,51.47114944,Z13,109722.6724,109700128.9
123,UKK12,"Bath and North East Somerset, North Somerset and South Gloucestershire",372222,175257,-2.40135002,51.47557831,Z13,314949.6022,1222709941
124,UKK13,Gloucestershire,389595,213465,-2.15234995,51.81970978,Z13,533507.0207,2653031415
125,UKK14,Swindon,418551,186564,-1.73367,51.57762909,Z13,103014.5806,230093380.8
126,UKK15,Wiltshire,405209,158863,-1.92660999,51.32883072,Z13,402006.2331,3255338112
127,UKK21,Bournemouth and Poole,406546,93466,-1.90857995,50.74074936,Z17,101357.4976,110945814.8
128,UKK22,Dorset CC,370871,99796,-2.41466999,50.79697037,Z17,571850.948,2541730494
129,UKK23,Somerset,309293,131082,-3.29605007,51.07186127,Z17,527425.9059,3452098606
130,UKK30,Cornwall and Isles of Scilly,212501,64494,-4.64248991,50.45022964,Z17,1315272.043,3565838439
131,UKK41,Plymouth,249944,58255,-4.1129899,50.40494156,Z17,94431.70516,79830102.86
132,UKK42,Torbay,289730,64608,-3.5552299,50.4708786,Z17,78677.64793,62890843.74
133,UKK43,Devon CC,283141,93082,-3.65701008,50.72555923,Z17,1066741.711,6567162439
134,UKL11,Isle of Anglesey,245222,378346,-4.32290983,53.27944946,Z9,361683.8091,714458084.6
135,UKL12,Gwynedd,277968,334967,-3.8155899,52.89825821,Z9,585237.1827,2548075142
136,UKL13,Conwy and Denbighshire,293490,357583,-3.59240007,53.10477829,Z9,364105.8714,1968735681
137,UKL14,South West Wales,250540,245213,-4.18274021,52.08504105,Z13,1295193.078,5778812042
138,UKL15,Central Valleys,302237,197618,-3.41506004,51.66880035,Z13,138072.1737,536107428.2
139,UKL16,Gwent Valleys,320892,197949,-3.1454401,51.67470932,Z13,143122.9095,512355800.5
140,UKL17,Bridgend and Neath Port Talbot,282561,193611,-3.69810009,51.62902069,Z13,196473.9652,693065771.1
141,UKL18,Swansea,264022,197308,-3.96723008,51.65805817,Z13,271925.9276,379659108.3
142,UKL21,Monmouthshire and Newport,337812,209231,-2.90280008,51.77827072,Z13,326897.3479,1040796507
143,UKL22,Cardiff and Vale of Glamorgan,303521,175398,-3.39038992,51.46929169,Z13,149952.4918,473479960.7
144,UKL23,Flintshire and Wrexham,329118,353730,-3.05948997,53.07609177,Z9,351896.7415,941263497.9
145,UKL24,Powys,302328,273254,-3.43532991,52.348629,Z13,610109.2566,5195320923
146,UKM50,Aberdeen City and Aberdeenshire,360864,814981,-2.64976001,57.22386932,Z2,779348.6008,6503696631
147,UKM61,Caithness & Sutherland and Ross & Cromarty,247645,905726,-4.58054018,58.01448059,Z1_3,2564204.949,13064161206
148,UKM62,"Inverness & Nairn and Moray, Badenoch & Strathspey",265081,819363,-4.23748016,57.2449913,Z1_4,703168.2972,7938888050
149,UKM63,"Lochaber, Skye & Lochalsh, Arran & Cumbrae and Argyll & Bute",193798,782546,-5.38655996,56.88827133,,6319169.593,14469477427
150,UKM64,Na h-Eileanan Siar (Western Isles),126473,932862,-6.65721989,58.19937897,Z1_2,3875043.725,3092097685
151,UKM65,Orkney Islands,348291,1006584,-2.90028,58.9433403,,1224806.049,1013346186
152,UKM66,Shetland Islands,434516,1180307,-1.37344003,60.50495148,Z1_1,2383352.766,1469065494
153,UKM71,Angus and Dundee City,344203,759205,-2.91329002,56.72114944,Z3,311392.2302,2245027124
154,UKM72,Clackmannanshire and Fife,339197,704726,-2.98235011,56.23117065,Z3,402319.3664,1484020142
155,UKM73,East Lothian and Midlothian,344351,666525,-2.89126992,55.88861847,Z5,266405.5663,1034455459
156,UKM75,"Edinburgh, City of",320193,669416,-3.27825999,55.91119003,Z5,108122.9361,263351744.2
157,UKM76,Falkirk,289661,679536,-3.77060008,55.99604034,Z5,144942.1135,297363508.7
158,UKM77,Perth & Kinross and Stirling,282520,731012,-3.90787005,56.45655823,Z3,712650.584,7637067843
159,UKM78,West Lothian,299483,668514,-3.60909009,55.89920044,Z5,134896.9834,428766233.8
160,UKM81,"East Dunbartonshire, West Dunbartonshire and Helensburgh & Lomond",231156,693869,-4.71665001,56.10763931,Z5,311795.5192,733040489.8
161,UKM82,Glasgow City,261534,667032,-4.21478987,55.8764801,Z5,135389.5555,174684129
162,UKM83,"Inverclyde, East Renfrewshire and Renfrewshire",240106,661405,-4.55361986,55.81932831,Z5,218847.5415,597662000.6
163,UKM84,North Lanarkshire,277984,665608,-3.95140004,55.86814117,Z5,164091.1673,472126116.1
164,UKM91,Scottish Borders,345891,626135,-2.85865998,55.52593994,Z6,514597.0622,4739154528
165,UKM92,Dumfries & Galloway,270645,579857,-4.02862978,55.09621811,Z6,1147893.612,6437622600
166,UKM93,East Ayrshire and North Ayrshire mainland,247081,608227,-4.41293001,55.34421158,Z5,443391.2314,1710112994
167,UKM94,South Ayrshire,226544,596270,-4.72901011,55.23006821,Z5,331695.6255,1224125110
168,UKM95,South Lanarkshire,284635,636070,-3.83270001,55.60451889,Z5,283951.1311,1773926670
